"States","Yr","Quater","Type","District","total_insurance_count","total_insurance_amount","total_transaction_count","total_transaction_amount","total_registered_users","total_app_opens"
"west-bengal","2021","2",NULL,"hooghly district",NULL,NULL,"6360194","11614334146.67925","1117731","15432239"
"west-bengal","2021","2",NULL,"darjiling district",NULL,NULL,"3075101","6810672446.735575","398569","6269744"
"west-bengal","2021","2",NULL,"dakshin dinajpur district",NULL,NULL,"1056135","2122254125.665434","281433","3959456"
"west-bengal","2021","2",NULL,"birbhum district",NULL,NULL,"2739774","5158503519.465005","597952","8372476"
"west-bengal","2021","2",NULL,"bankura district",NULL,NULL,"2915786","4611070512.295103","646486","11202278"
"west-bengal","2021","2",NULL,"alipurduar district",NULL,NULL,"1015282","2144339264.9745913","180350","4356938"
"west-bengal","2021","1",NULL,"uttar dinajpur district",NULL,NULL,"1706867","4658610030.56789","364508","6914186"
"west-bengal","2021","1",NULL,"south twenty four parganas district",NULL,NULL,"5599480","12117504304.189785","1202229","21591489"
"west-bengal","2021","1",NULL,"purulia district",NULL,NULL,"1624755","2471960440.649763","406012","6414833"
"west-bengal","2021","1",NULL,"purba medinipur district",NULL,NULL,"5365020","12827859644.822784","884605","18408378"
"west-bengal","2021","1",NULL,"purba bardhaman district",NULL,NULL,"3332419","6629023081.432125","736414","12509473"
"west-bengal","2021","1",NULL,"paschim medinipur district",NULL,NULL,"4172851","8823590467.006695","800530","15570980"
"west-bengal","2021","1",NULL,"paschim bardhaman district",NULL,NULL,"4191623","7560655964.1510105","738540","14154334"
"west-bengal","2021","1",NULL,"north twenty four parganas district",NULL,NULL,"15695125","27895823531.579113","2491076","53434882"
"west-bengal","2021","1",NULL,"nadia district",NULL,NULL,"4539314","9862089010.152363","893107","16082294"
"west-bengal","2021","1",NULL,"murshidabad district",NULL,NULL,"6771948","16548543048.894","1166975","18555993"
"west-bengal","2021","1",NULL,"maldah district",NULL,NULL,"3227147","8406012410.967968","613320","12880352"
"west-bengal","2021","1",NULL,"kolkata district",NULL,NULL,"33156725","67772051033.458176","1823074","39347629"
"west-bengal","2021","1",NULL,"koch bihar district",NULL,NULL,"1491071","3346773579.067724","345201","5796542"
"west-bengal","2021","1",NULL,"kalimpong district",NULL,NULL,"126774","304298077.8011435","34881","525429"
"west-bengal","2021","1",NULL,"jhargram district",NULL,NULL,"563523","1013708476.7789638","115812","2140829"
"west-bengal","2021","1",NULL,"jalpaiguri district",NULL,NULL,"1155903","2759371175.6936426","241123","4313032"
"west-bengal","2021","1",NULL,"howrah district",NULL,NULL,"9971593","19433078118.20204","940133","17584219"
"west-bengal","2021","1",NULL,"hooghly district",NULL,NULL,"5418241","10168468111.111834","1046242","19808381"
"west-bengal","2021","1",NULL,"darjiling district",NULL,NULL,"3286434","7769686380.986313","372025","6683418"
"west-bengal","2021","1",NULL,"dakshin dinajpur district",NULL,NULL,"870615","1850147285.0761428","262176","3213720"
"west-bengal","2021","1",NULL,"birbhum district",NULL,NULL,"2403840","4665715871.473248","558494","8668586"
